"tourney_name","tourney_level","Elo"
"Cincinnati",900,1862.47777777778
"Rome",900,1841.57636363636
"Toronto",900,1834.43148148148
"Doha",900,1831.29642857143
"Guadalajara 2",900,1802.07678571429
