Player,Elo,Hard Elo,Clay Elo,Grass Elo
Cristina Bucsa,1661.4,1654.8,1552.7,1540.5
Magdalena Frech,1660.3,1623.5,1604.5,1570.2
Anna Bondar,1659.6,1561.0,1655.9,1476.2
Kateryna Baindl,1658.5,1612.5,1635.2,1508.8
Xin Yu Wang,1658.1,1631.2,1546.9,1600.2
Sofia Kenin,1657.0,1612.6,1594.4,1578.5
Anna Karolina Schmiedlova,1650.5,1609.3,1617.2,1482.3
Eugenie Bouchard,1648.5,1586.1,1670.6,1555.8
Lin Zhu,1648.0,1628.1,1493.0,1427.5
Sara Bejlek,1647.9,1539.7,1614.5,1460.0
Robin Montgomery,1647.4,1624.0,1408.6,1498.7
Tatjana Maria,1644.9,1582.2,1550.3,1669.2
Ysaline Bonaventure,1644.2,1624.7,1543.3,1553.1
Aliona Bolsova,1644.2,1588.2,1629.7,1424.5
Lucia Bronzetti,1644.1,1627.0,1589.5,1470.8
Katie Swan,1641.1,1614.0,1536.7,1495.7
Heather Watson,1639.0,1600.0,1516.6,1563.4
Leolia Jeanjean,1633.1,1520.9,1600.4,1524.0
Tamara Zidansek,1632.7,1603.6,1607.6,1496.9
Nadia Podoroska,1630.6,1587.0,1611.4,1503.4
Tamara Korpatsch,1629.9,1523.1,1632.8,1469.8
Elena Gabriela Ruse,1629.8,1604.5,1578.2,1564.6
Anna Lena Friedsam,1626.0,1607.4,1544.6,1510.4
Maja Chwalinska,1620.9,1388.7,1586.7,1571.5
Viktoriya Tomova,1620.8,1553.0,1584.3,1541.1
Mihaela Buzarnescu,1617.6,1575.7,1557.3,1567.5
Viktoria Kuzmova,1616.4,1615.3,1499.0,1458.9
Nuria Parrizas Diaz,1614.2,1587.4,1551.5,1461.7
Nao Hibino,1609.2,1580.0,1505.1,1458.3
Barbora Palicova,1609.1,1553.7,1547.7,1479.5
Jaqueline Cristian,1608.7,1558.3,1559.4,1418.4
Diane Parry,1608.6,1511.2,1578.3,1576.4
Sara Errani,1608.3,1549.9,1590.0,1501.2
Julia Grabher,1604.6,1407.3,1608.7,1448.6
Dalma Galfi,1599.3,1566.5,1558.8,1510.4
Ashlyn Krueger,1597.9,1555.4,1492.7,1474.0
Clara Burel,1597.9,1592.6,1520.3,1534.4
Olga Danilovic,1596.1,1540.1,1576.9,1435.5
Rebeka Masarova,1595.0,1578.9,1527.9,1439.7
Arantxa Rus,1594.0,1556.5,1577.2,1480.4
Fernanda Contreras Gomez,1593.7,1546.2,1550.8,1546.1
Tara Wurth,1593.0,1441.5,1575.3,1471.5
Louisa Chirico,1591.2,1540.2,1531.2,1475.2
Simona Waltert,1591.2,1492.4,1591.2,1470.0
Emma Navarro,1590.4,1493.0,1570.2,1470.2
Greet Minnen,1588.2,1540.8,1516.5,1523.8
Varvara Gracheva,1585.9,1570.2,1504.9,1438.9
Elina Avanesyan,1584.5,1529.1,1536.4,1448.2
Katarina Zavatska,1583.4,1537.0,1532.9,1455.2
Marina Bassols Ribera,1582.8,1497.8,1553.2,1466.4
Yanina Wickmayer,1581.5,1545.9,1485.9,1550.3
Kristina Mladenovic,1581.2,1565.4,1551.8,1530.9
Sabine Lisicki,1580.0,1550.6,1506.4,1536.0
Petra Marcinko,1579.0,1520.1,1515.8,1464.5
Oceane Dodin,1576.0,1516.4,1567.6,1499.9
Jodie Burrage,1572.3,1523.6,1382.9,1514.6
Kristina Kucova,1571.1,1546.0,1514.9,1417.7
Erika Andreeva,1570.2,1551.5,1517.8,1460.1
Katherine Sebov,1570.1,1551.0,1365.7,1488.9
Fiona Ferro,1569.6,1549.7,1541.3,1471.5
Lucrezia Stefanini,1568.3,1528.8,1482.3,1437.1
Mirjam Bjorklund,1563.4,1481.1,1523.7,1518.5
Christina Mchale,1562.9,1528.1,1503.5,1500.6
Nikola Bartunkova,1561.9,1496.8,1500.6,1456.0
Hailey Baptiste,1555.6,1499.6,1521.3,1506.4
Vitalia Diatchenko,1554.0,1536.3,1443.8,1503.9
Oksana Selekhmeteva,1552.8,1472.3,1519.2,1451.4
Alexandra Eala,1549.9,1531.2,1442.9,1450.0
Anastasia Gasanova,1548.7,1491.9,1480.4,1450.1
Kathinka Von Deichmann,1547.0,1519.2,1471.5,1432.6
Misaki Doi,1545.3,1525.5,1483.7,1480.3
