"tourney_name","tourney_level","Elo"
"Dubai",500,1875.159375
"Ostrava",500,1861.86071428571
"Stuttgart",500,1840.425
"San Diego",500,1830.06071428571
"San Jose",500,1820.85714285714
"Berlin",500,1819.865625
"St. Petersburg",500,1806.48125
"Eastbourne",500,1785.91875
"Sydney",500,1781.1724137931
"Adelaide 1",500,1760.05
"Charleston",500,1723.92777777778
"Tokyo",500,1722.55925925926
